Precision,Recall,Threshold
0.0017258990525166427,1.0,9.877132842952342e-07
0.0017259294482309224,1.0,9.878809899720987e-07
0.0017259598450158507,1.0,9.88652701711178e-07
0.0017259902428714842,1.0,9.90040593354005e-07
0.0017260206417978794,1.0,9.9018243814598e-07
0.0017260510417950931,1.0,9.902425546208888e-07
0.0017260814428631816,1.0,9.921161531423969e-07
0.0017261118450022017,1.0,9.932470847405334e-07
0.0017261422482122099,1.0,9.992968705409582e-07
0.0017261726524932625,1.0,1.0003434607734822e-06
0.0017262030578454168,1.0,1.0039714786500376e-06
0.0017262334642687287,1.0,1.0040215319365196e-06
0.0017262638717632551,1.0,1.0046673622772215e-06
0.001726294280329053,1.0,1.005642372703865e-06
0.0017263246899661782,1.0,1.0068590775025433e-06
0.0017263551006746877,1.0,1.0069514380481245e-06
0.0017263855124546384,1.0,1.0077987847554574e-06
0.0017264463392290888,1.0,1.008293099214066e-06
0.0017264767542237022,1.0,1.0087287846053863e-06
0.0017265071702899828,1.0,1.009555173019363e-06
0.0017265375874279875,1.0,1.0096306143659493e-06
0.0017265680056377732,1.0,1.013115262686798e-06
0.001726598424919396,1.0,1.0149253747199165e-06
0.001726628845272913,1.0,1.0158872368495064e-06
0.0017266592666983808,1.0,1.018864177941525e-06
0.001726689689195856,1.0,1.0196072719263861e-06
0.001726720112765395,1.0,1.0229344120144672e-06
0.001726750537407055,1.0,1.0233297463984847e-06
0.0017267809631208923,1.0,1.027346705356648e-06
0.0017268113899069637,1.0,1.0291421001007957e-06
0.0017268418177653257,1.0,1.0308231015307347e-06
0.0017268722466960353,1.0,1.0329300388089088e-06
0.001726902676699149,1.0,1.0339037203671567e-06
0.0017269331077747233,1.0,1.0354048308737634e-06
0.0017269635399228152,1.0,1.0360130760868604e-06
0.0017269939731434814,1.0,1.0371739580273752e-06
0.0017270244074367785,1.0,1.0380188446391164e-06
0.0017270548428027633,1.0,1.038899533062141e-06
0.0017270852792414923,1.0,1.0392245319407411e-06
0.0017271157167530224,1.0,1.0392620869187729e-06
0.0017271461553374104,1.0,1.0410529791025002e-06
0.0017271765949947128,1.0,1.041758397823446e-06
0.0017272070357249863,1.0,1.0428622060435147e-06
0.001727237477528288,1.0,1.0439324186830098e-06
0.001727298364354202,1.0,1.0460976818522079e-06
0.0017273288093769279,1.0,1.0477121496550462e-06
0.0017273592554729086,1.0,1.0503659746361173e-06
0.0017273897026422011,1.0,1.051372774616521e-06
0.0017274201508848622,1.0,1.0518916505809304e-06
0.0017274506002009484,1.0,1.0537403462446212e-06
0.0017274810505905165,1.0,1.0570095443364687e-06
0.0017275115020536234,1.0,1.0574962360163898e-06
0.0017275419545903258,1.0,1.0589831641348547e-06
0.0017275724082006804,1.0,1.0596588852584e-06
0.0017276028628847443,1.0,1.0601700302822353e-06
0.0017276333186425738,1.0,1.0609394532271907e-06
0.001727663775474226,1.0,1.0660139482109436e-06
0.0017277246923592257,1.0,1.0661624365547521e-06
0.0017277551524126867,1.0,1.0664699529998107e-06
0.0017277856135401975,1.0,1.0665623510411707e-06
0.0017278160757418148,1.0,1.0665937297871296e-06
0.0017278465390175959,1.0,1.0667231272903792e-06
0.001727877003367597,1.0,1.0683112594264735e-06
0.0017279074687918752,1.0,1.0695807029322696e-06
0.0017279379352904876,1.0,1.0739325652993502e-06
0.0017279684028634905,1.0,1.0758765623358077e-06
0.001727998871510941,1.0,1.0788679601437167e-06
0.001728029341232896,1.0,1.0790069597977957e-06
0.0017280902839005466,1.0,1.079447164819708e-06
0.0017281207568463559,1.0,1.0798571818949585e-06
0.001728151230866897,1.0,1.081428205238881e-06
0.001728181705962227,1.0,1.0821022055131214e-06
0.0017282121821324023,1.0,1.0833088270287547e-06
0.00172824265937748,1.0,1.0836230133590793e-06
0.001728273137697517,1.0,1.0839302701135168e-06
0.00172830361709257,1.0,1.0855588705380636e-06
0.0017283340975626962,1.0,1.0868033376433724e-06
0.0017283645791079522,1.0,1.0891598488152217e-06
0.0017283950617283952,1.0,1.089384943614522e-06
0.0017284255454240816,1.0,1.0894166785519189e-06
0.0017284560301950686,1.0,1.0904587010373374e-06
0.001728517002963172,1.0,1.0907801496284765e-06
0.001728547490960402,1.0,1.0938687189854392e-06
0.0017285779800331605,1.0,1.098592927232686e-06
0.001728608470181504,1.0,1.1021738912522348e-06
0.0017286389614054893,1.0,1.1042374064574902e-06
0.0017286694537051736,1.0,1.105445072630778e-06
0.0017286999470806138,1.0,1.1056173375778208e-06
0.0017287304415318668,1.0,1.1059394562145474e-06
0.0017287609370589896,1.0,1.1065524798620168e-06
0.001728791433662039,1.0,1.10676266275505e-06
0.001728821931341072,1.0,1.1070436310729117e-06
0.0017289134308346417,1.0,1.1079826102302225e-06
0.0017289439328181785,1.0,1.10941489140798e-06
0.0017289744358779838,1.0,1.1105138873259485e-06
0.0017290049400141144,1.0,1.1109699261820674e-06
0.0017290354452266271,1.0,1.1116353019320015e-06
0.0017290659515155793,1.0,1.1127849823182499e-06
0.0017290964588810276,1.0,1.113212324883721e-06
0.001729126967323029,1.0,1.115386605317896e-06
0.0017291574768416409,1.0,1.1154096409391372e-06
0.0017291879874369199,1.0,1.115668988405548e-06
0.001729218499108923,1.0,1.115713952869159e-06
0.0017292490118577075,1.0,1.1161120218708558e-06
0.00172927952568333,1.0,1.1161335568673378e-06
0.0017293100405858478,1.0,1.1185455672037167e-06
0.0017293710736217972,1.0,1.1185754121022728e-06
0.0017294015917553426,1.0,1.118876104309156e-06
0.0017294321109660113,1.0,1.1194310807589522e-06
0.0017294626312538604,1.0,1.1202508003989575e-06
0.0017294931526189467,1.0,1.1208506379289422e-06
0.0017295236750613275,1.0,1.122728708406244e-06
0.0017295541985810597,1.0,1.1230733982388001e-06
0.0017295847231782002,1.0,1.1234278977202228e-06
0.0017296152488528063,1.0,1.1237253771345355e-06
0.0017296457756049348,1.0,1.1240080305638614e-06
0.001729676303434643,1.0,1.1245557718266927e-06
0.0017297068323419878,1.0,1.127316383316578e-06
0.0017297373623270263,1.0,1.128133849783364e-06
0.0017297678933898156,1.0,1.128408251893643e-06
0.0017299205648720211,1.0,1.1320616195371709e-06
0.0017299511024025137,1.0,1.132307659792102e-06
0.0017299816410111567,1.0,1.134040147695467e-06
0.0017300121806980069,1.0,1.1376201589652645e-06
0.0017300427214631219,1.0,1.1393182168733812e-06
0.0017300732633065584,1.0,1.139558135877206e-06
0.0017301343502286249,1.0,1.1398896528550787e-06
0.001730164895307369,1.0,1.1399751359666302e-06
0.0017301954414646633,1.0,1.1402469808852884e-06
0.001730225988700565,1.0,1.141239053596497e-06
0.0017302565370151308,1.0,1.1417788314599001e-06
0.0017302870864084185,1.0,1.1440661979395794e-06
0.0017303176368804844,1.0,1.1447768847287952e-06
0.0017303481884313864,1.0,1.1459418841997738e-06
0.0017303787410611813,1.0,1.1463666205459436e-06
0.0017304398495576784,1.0,1.1469832583948874e-06
0.001730470405424495,1.0,1.147338036118155e-06
0.0017305009623704332,1.0,1.1476279892839759e-06
0.00173053152039555,1.0,1.1488618244787355e-06
0.001730562079499903,1.0,1.1494533661571754e-06
0.0017305926396835487,1.0,1.1498890851301245e-06
0.001730623200946545,1.0,1.1524159947913297e-06
0.0017306537632889485,1.0,1.1536945276809965e-06
0.0017306843267108167,1.0,1.1547863736575531e-06
0.0017307148912122068,1.0,1.1556384193619695e-06
0.0017307454567931759,1.0,1.1586939124595102e-06
0.0017307760234537813,1.0,1.1592321189016478e-06
0.00173080659119408,1.0,1.159913632927158e-06
0.0017308371600141294,1.0,1.1615971308932847e-06
0.0017310205956123927,1.0,1.1633919146498016e-06
0.0017310511719922986,1.0,1.1641256520613492e-06
0.0017310817494524129,1.0,1.1647505571162482e-06
0.001731112327992793,1.0,1.164759728130224e-06
0.0017311429076134958,1.0,1.1649367381671418e-06
0.001731173488314579,1.0,1.1655955157181965e-06
0.0017312040700960996,1.0,1.1671313115354017e-06
0.0017312346529581148,1.0,1.1681945973451988e-06
0.0017312652369006819,1.0,1.1700212734778994e-06
0.0017312958219238583,1.0,1.1706152700207588e-06
0.001731356995212268,1.0,1.1706712622926378e-06
